,FoodName,GI,Serve,CarbPerServe,GL,URL
691,"30 g Oat bran (containing 4 g ß-glucan), consumed  as a drink mixed with 41g glucose and water, frozen for 13 days and then thawed before consumption   ",64,10,3,2,foodSearch.php?num=819&ak=detail
692,"45 g Oat bran (containing 6 g ß-glucan), consumed as a drink mixed with 41g glucose and water ",64,10,3,2,foodSearch.php?num=820&ak=detail
693,Oat 'n Honey Bake™ breakfast cereal,77,30,17,13,foodSearch.php?num=821&ak=detail
694,"Oats, rolled, uncooked",59,30,19,11,foodSearch.php?num=822&ak=detail
695,"Porridge, made from rolled oats and reduced fat milk",42,250,21,9,foodSearch.php?num=823&ak=detail
696,"Porridge, made from rolled oats cooked for 20 min ",49,250,23,11,foodSearch.php?num=824&ak=detail
697,"Porridge oats, made from rolled oats",50,250,19,10,foodSearch.php?num=825&ak=detail
698,"Traditional porridge oats, made from rolled oats",51,250,21,11,foodSearch.php?num=826&ak=detail
699,"Porridge, made from steel-cut oats, cooked in water",52,250,33,17,foodSearch.php?num=827&ak=detail
700,"Porridge, made from rolled oats",55,250,23,13,foodSearch.php?num=828&ak=detail
701,Traditional Rolled Oats,57,250,19,11,foodSearch.php?num=829&ak=detail
702,"Old-Fashioned Steel Cut Oats, President's Choice® Blue Menu™",57,250,25,14,foodSearch.php?num=830&ak=detail
703,"Porridge, made from rolled oats",58,250,21,12,foodSearch.php?num=831&ak=detail
704,"Porridge, made from rolled oats ",58,250,21,12,foodSearch.php?num=832&ak=detail
705,"Porridge, made from rolled oats",63,250,30,19,foodSearch.php?num=833&ak=detail
706,"Porridge, organic made from rolled oats",63,250,29,18,foodSearch.php?num=834&ak=detail
707,"Porridge, made from rolled oats (Scottish)",63,250,31,20,foodSearch.php?num=835&ak=detail
708,"Multi grain instant oatmeal, Regular and Cinnamon & Spice, President's Choice® Blue Menu™",55,250,26,14,foodSearch.php?num=836&ak=detail
709,"Multigrain porridge, containing rolled oats, wheat, triticale, rye, barley and rice, cooked with water",55,250,35,19,foodSearch.php?num=837&ak=detail
710,"Wholemeal oat flour porridge (flour:water = 1:3), boiled 2.5 min ",74,50,32,24,foodSearch.php?num=838&ak=detail
711,Oat porridge made from thick (1.0 mm) dehulled oat flakes,55,250,27,15,foodSearch.php?num=839&ak=detail
712,"Oat porridge made from 0.5-0.6 mm thick flakes, cooked for 10 min",76,250,25,19,foodSearch.php?num=840&ak=detail
713,Oat porridge made from roasted thin (0.5 mm) dehulled oat flakes,69,250,27,19,foodSearch.php?num=841&ak=detail
714,Oat porridge made from roasted thick (1.0 mm) ,50,250,27,14,foodSearch.php?num=842&ak=detail
715,Oat porridge made from roasted and steamed thin (0.5 mm) dehulled oat flakes ,80,250,27,22,foodSearch.php?num=843&ak=detail
716,Oat porridge made from steamed thick (1.0 mm) dehulled oat flakes ,53,250,27,14,foodSearch.php?num=844&ak=detail
717,Instant porridge,69,250,20,14,foodSearch.php?num=845&ak=detail
718,"Instant oat porridge, cooked in microwave with water",82,250,24,20,foodSearch.php?num=846&ak=detail
719,"Instant oatmeal porridge, made from packet ",83,250,22,18,foodSearch.php?num=847&ak=detail
720,Instant oat cereal porridge prepared with water ,83,250,36,30,foodSearch.php?num=848&ak=detail
721,"Pop Tarts™, Double Chocolate",70,50,36,25,foodSearch.php?num=849&ak=detail
722,Puffed Wheat breakfast cereal,80,30,21,17,foodSearch.php?num=850&ak=detail
723,Raisin Bran™ breakfast cereal,61,30,19,12,foodSearch.php?num=851&ak=detail
724,"Rice Bran breakfast cereal, extruded",19,30,14,3,foodSearch.php?num=852&ak=detail
725,Rice Bubbles™,81,30,26,21,foodSearch.php?num=853&ak=detail
726,Rice Bubbles™ ,85,30,26,22,foodSearch.php?num=854&ak=detail
727,Rice Bubbles™,92,30,26,24,foodSearch.php?num=855&ak=detail
728,Rice Bubbles™,95,30,26,25,foodSearch.php?num=856&ak=detail
729,Shredded Wheat breakfast cereal,67,30,20,13,foodSearch.php?num=857&ak=detail
730,"Soy Crunch Multi-Grain Cereal, President's Choice® Blue Menu™",47,30,20,9,foodSearch.php?num=858&ak=detail
731,Special K™ breakfast cereal,54,30,21,11,foodSearch.php?num=859&ak=detail
732,Special K™ breakfast cereal,69,30,21,14,foodSearch.php?num=860&ak=detail
733,"Special K™ breakfast cereal, made from rice",84,30,23,20,foodSearch.php?num=861&ak=detail
734,"Soy Tasty™ breakfast cereal (flaked grains, soy nuts, dried fruit)",60,30,20,12,foodSearch.php?num=862&ak=detail
735,"Soytana™ breakfast cereal, Vogel's, soy and linseed bran crunch with sultanas (20.1 g fiber per 100 g)",49,45,25,12,foodSearch.php?num=863&ak=detail
736,Sultana Bran™,64,30,19,12,foodSearch.php?num=864&ak=detail
737,Sultana Bran™,73,30,19,14,foodSearch.php?num=865&ak=detail
738,"Ultra-bran™ breakfast cereal, Vogel's, soy and linseed extruded wheat bran cereal (30.2 g fiber per 100 g)",41,30,13,5,foodSearch.php?num=867&ak=detail
739,Vogel's Cluster Crunch Classic breakfast cereal,50,30,20,10,foodSearch.php?num=868&ak=detail
740,"Vogel's Cluster Crunch, Honey Hazelnut breakfast cereal",43,30,19,8,foodSearch.php?num=869&ak=detail
741,Wild Oats Cluster Crunch Hazelnut Chocolate breakfast cereal,43,30,19,8,foodSearch.php?num=870&ak=detail
742,Wheat-bites™ breakfast cereal,72,30,25,18,foodSearch.php?num=871&ak=detail
743,Vita-Brits™ wheat biscuits (plain flaked wheat),61,30,20,12,foodSearch.php?num=872&ak=detail
744,Vita-Brits™ wheat biscuits (plain flaked wheat),68,30,20,13,foodSearch.php?num=873&ak=detail
745,Weet-Bix™ wheat biscuits (plain flaked wheat),69,30,17,12,foodSearch.php?num=874&ak=detail
746,Weet-Bix™ wheat biscuits (plain flaked wheat),69,30,17,12,foodSearch.php?num=875&ak=detail
747,Weetabix™ wheat biscuits (plain flaked wheat) ,75,30,22,16,foodSearch.php?num=876&ak=detail
748,Whole wheat Goldies™ wheat biscuits (plain flaked wheat),70,30,20,14,foodSearch.php?num=877&ak=detail
749,"Wheat based cereal biscuit, wheat biscuits (plain flaked wheat)",72,30,20,14,foodSearch.php?num=878&ak=detail
750,"Good Start™, muesli wheat biscuits with additional ingredients",68,30,20,14,foodSearch.php?num=879&ak=detail
751,Hi-Bran Weet-Bix™ wheat biscuits with extra wheat bran,61,30,17,10,foodSearch.php?num=880&ak=detail
752,Hi-Bran Weet-Bix™ with soy and linseed,57,30,16,9,foodSearch.php?num=881&ak=detail
753,Honey Goldies™ wheat biscuits with additional ingredients,72,30,21,15,foodSearch.php?num=882&ak=detail
754,"Lite-Bix™, wheat biscuits with additional ingredients, plain, no added sugar",70,30,20,14,foodSearch.php?num=883&ak=detail
755,Oat bran Weet-Bix™ wheat biscuits with additional ingredients,57,30,20,11,foodSearch.php?num=884&ak=detail
756,Sultana Goldies™ wheat biscuits with additional ingredients,65,30,21,13,foodSearch.php?num=885&ak=detail
757,Branflakes consumed with 150 mL semi-skimmed milk,76,30,20,15,foodSearch.php?num=886&ak=detail
758,"Cereal flakes with fruit (30 g), consumed with 125 mL skim milk ",57,155,29,16,foodSearch.php?num=887&ak=detail
759,"Cocoa Crunch cereal (30 g), consumed with 125 mL skim milk ",58,155,28,16,foodSearch.php?num=888&ak=detail
760,"Cornflakes (Sainsbury's, UK) (30 g), consumed with 125 mL skim milk",65,30,25,16,foodSearch.php?num=889&ak=detail
761,"Honey Crunch cereal (30 g), consumed with 125 mL skim milk ",54,155,30,16,foodSearch.php?num=890&ak=detail
762,"Hot oat cereal (30 g), berry flavor prepared with 125 mL skim milk",43,155,26,11,foodSearch.php?num=891&ak=detail
763,"Hot oat cereal (30 g), cocoa flavor prepared with 125 mL skim milk",40,155,23,9,foodSearch.php?num=892&ak=detail
764,"Hot oat cereal (30 g), fruit flavor prepared with 125 mL skim milk",47,155,25,12,foodSearch.php?num=893&ak=detail
765,"Hot oat cereal (30 g), honey flavor prepared with 125 mL skim milk",47,155,26,12,foodSearch.php?num=894&ak=detail
766,"Hot oat cereal (30 g), orchard fruit flavor prepared with 125 mL skim milk",50,155,25,12,foodSearch.php?num=895&ak=detail
767,Hot oat cereal (30 g) prepared with 125 mL skim milk,47,155,23,11,foodSearch.php?num=896&ak=detail
768,Hot oat cereal (30 g) prepared with 125 mL skim milk,40,155,23,9,foodSearch.php?num=897&ak=detail
769,"Muesli, gluten-free with 1.5% fat milk (125 mL)",39,30,19,7,foodSearch.php?num=898&ak=detail
770,"Muesli, Original, consumed with 125 mL semi-skimmed milk",60,30,19,11,foodSearch.php?num=899&ak=detail
771,"Muesli, Swiss, consumed with 150 mL semi-skimmed milk",60,30,19,12,foodSearch.php?num=900&ak=detail
772,"Muesli, Wheat free, consumed with 150 mL semi-skimmed milk",49,30,19,9,foodSearch.php?num=901&ak=detail
773,"Porridge, jumbo oats, consumed with 150 mL semi-skimmed milk",40,250,22,9,foodSearch.php?num=902&ak=detail
774,"Porridge, small oats, consumed with 150 mL semi-skimmed milk",61,250,22,14,foodSearch.php?num=903&ak=detail
775,"Precise™, with 125 mL semi-skimmed milk",59,30,24,14,foodSearch.php?num=904&ak=detail
776,"Rice Pops™, with 125 mL semi-skimmed milk",80,30,25,20,foodSearch.php?num=905&ak=detail
777,"Cereal biscuit (30 g), cocoa flavor wheat biscuits consumed with 125 mL skim milk",46,155,27,12,foodSearch.php?num=906&ak=detail
778,"Cereal biscuit (30 g), fruit flavor wheat biscuits consumed with 125 mL skim milk",56,155,27,15,foodSearch.php?num=907&ak=detail
779,"Cereal biscuit (30 g), honey flavor wheat biscuits consumed with 125 mL skim milk",52,155,27,14,foodSearch.php?num=908&ak=detail
780,"Cereal biscuit (30 g), wheat based biscuits consumed with 125 mL skim milk ",47,155,26,12,foodSearch.php?num=909&ak=detail
781,"Cereal bar, cranberry flavor",42,30,15,6,foodSearch.php?num=910&ak=detail
782,"Cereal bar, hazelnut flavor ",33,30,11,4,foodSearch.php?num=911&ak=detail
783,"Cereal bar, orange flavor ",33,30,14,5,foodSearch.php?num=912&ak=detail
784,Crunchy Nut Cornflakes™ bar,72,30,26,19,foodSearch.php?num=913&ak=detail
785,Fiber Plus™ bar,78,30,23,18,foodSearch.php?num=914&ak=detail
786,"Fruity-Bix™ bar, wheat biscuit cereal with dried fruit and nuts with yoghurt coating",56,30,19,11,foodSearch.php?num=915&ak=detail
787,"Fruity-Bix™ bar, wild berry, wheat biscuit cereal and covered with yoghurt coating",51,30,19,9,foodSearch.php?num=916&ak=detail
788,Hi-Lite™ breakfast bar,53,30,21,11,foodSearch.php?num=917&ak=detail
789,K-Time Just Right™ bar,72,30,24,17,foodSearch.php?num=918&ak=detail
790,K-Time Strawberry Crunch™ bar,77,30,25,19,foodSearch.php?num=919&ak=detail
791,"Muesli breakfast bar, gluten-free",50,30,17,9,foodSearch.php?num=920&ak=detail
792,"Omega bar, containing linseeds, sunflower kernels and nuts, gluten-free",21,30,13,3,foodSearch.php?num=921&ak=detail
793,Rice Bubble Treat™ bar,63,30,24,15,foodSearch.php?num=922&ak=detail
794,Sustain™ bar,57,30,25,14,foodSearch.php?num=923&ak=detail
795,"Buckwheat groats, hydrothermally treated, dehusked, boiled 12 min",45,150,30,13,foodSearch.php?num=924&ak=detail
796,"Couscous, rehydrated with hot water",65,150,14,9,foodSearch.php?num=925&ak=detail
797,Millet porridge ,62,150,36,22,foodSearch.php?num=926&ak=detail
798,"Quinoa, cooked, refrigerated, reheated in microwave for 1.5 min",53,150,25,13,foodSearch.php?num=927&ak=detail
799,"Arborio, risotto white rice, boiled, SunRice brand",69,150,53,36,foodSearch.php?num=260&ak=detail
800,"Arborio, risotto white rice, boiled, SunRice brand",69,150,53,36,foodSearch.php?num=928&ak=detail
801,"White rice, boiled, type not specified",43,150,38,16,foodSearch.php?num=268&ak=detail
802,"White rice, boiled, type not specified",43,150,38,16,foodSearch.php?num=929&ak=detail
803,"White rice, boiled, type not specified",72,150,42,30,foodSearch.php?num=930&ak=detail
804,"White rice, boiled, type not specified, boiled in salted water",72,150,38,27,foodSearch.php?num=255&ak=detail
805,"White rice, boiled, type not specified, boiled in salted water",72,150,38,27,foodSearch.php?num=931&ak=detail
806,"White rice, boiled, type not specified",83,150,36,30,foodSearch.php?num=280&ak=detail
807,"White rice, boiled, type not specified",83,150,36,30,foodSearch.php?num=932&ak=detail
808,"White rice, boiled, type not specified, boiled 13 min ",89,150,48,43,foodSearch.php?num=256&ak=detail
809,"White rice, boiled, type not specified, boiled 13 min ",89,150,48,43,foodSearch.php?num=933&ak=detail
810,"White rice, type not specified, boiled in salted water, refrigerated 16-20 h, reheated",53,150,38,20,foodSearch.php?num=257&ak=detail
811,"White rice, type not specified, boiled in salted water, refrigerated 16-20 h, reheated",53,150,38,20,foodSearch.php?num=934&ak=detail
812,"White rice, type not specified, boiled 13 min, then baked 10 min ",94,150,48,45,foodSearch.php?num=281&ak=detail
813,"White rice, type not specified, boiled 13 min, then baked 10 min ",94,150,48,45,foodSearch.php?num=935&ak=detail
814,"Long grain rice, white, unconverted, boiled 15 min, Mahatma brand",50,150,43,21,foodSearch.php?num=282&ak=detail
815,"Long grain rice, white, unconverted, boiled 15 min, Mahatma brand",50,150,43,21,foodSearch.php?num=936&ak=detail
816,"Long grain rice, white, boiled 7 min, Star brand",64,150,40,26,foodSearch.php?num=937&ak=detail
817,"Long grain rice, boiled, Star Brand",69,150,40,28,foodSearch.php?num=276&ak=detail
818,"Long grain rice quick-cooking variety, parboiled 10 min cooking time",68,150,37,25,foodSearch.php?num=283&ak=detail
819,"Long grain rice quick-cooking variety, parboiled 10 min cooking time",68,150,37,25,foodSearch.php?num=939&ak=detail
820,"Long grain rice quick-cooking variety, parboiled, 20 min cooking time",75,150,37,28,foodSearch.php?num=284&ak=detail
821,"Long grain rice quick-cooking variety, parboiled, 20 min cooking time",75,150,37,28,foodSearch.php?num=940&ak=detail
822,"Long grain rice quick-cooking variety, white, pre-cooked, microwaved 2 min, Express Rice, plain",52,150,37,19,foodSearch.php?num=285&ak=detail
823,"Long grain rice quick-cooking variety, white, pre-cooked, microwaved 2 min, Express Rice, plain",52,150,37,19,foodSearch.php?num=941&ak=detail
824,"Long Grain White Rice in 90 Seconds, microwaved, SunRice brand",76,150,58,44,foodSearch.php?num=277&ak=detail
825,"Long Grain White Rice in 90 Seconds, microwaved, SunRice brand",76,150,58,44,foodSearch.php?num=942&ak=detail
826,"Medium grain white rice, quick-cooking variety, boiled 12 min, Sun Rice brand",75,150,39,29,foodSearch.php?num=343&ak=detail
827,"Medium grain white rice, quick-cooking variety, boiled 12 min, Sun Rice brand",75,150,39,29,foodSearch.php?num=943&ak=detail
828,Rice porridge ,69,150,33,23,foodSearch.php?num=944&ak=detail
829,Rice porridge ,88,150,15,13,foodSearch.php?num=265&ak=detail
830,Rice porridge ,88,150,15,13,foodSearch.php?num=945&ak=detail
831,"Rice porridge, made from rice bran ",19,150,14,3,foodSearch.php?num=946&ak=detail
832,"Rice porridge, made from black rice ",42,150,33,14,foodSearch.php?num=947&ak=detail
833,"Rice porridge, made from Sticky rice ",65,150,33,21,foodSearch.php?num=948&ak=detail
834,"American, easy-cook rice, consumed with 10 g margarine",49,150,46,22,foodSearch.php?num=286&ak=detail
835,"Broken rice, white, cooked in rice cooker",86,150,43,37,foodSearch.php?num=292&ak=detail
836,"Broken rice, white, cooked in rice cooker",86,150,43,37,foodSearch.php?num=950&ak=detail
837,"Brown Rice, Uncle Ben's® Ready Whole Grain (pouch)",48,150,42,20,foodSearch.php?num=293&ak=detail
838,"Brown Rice, Uncle Ben's® Ready Whole Grain (pouch)",48,150,42,20,foodSearch.php?num=951&ak=detail
839,"Brown & Wild rice, Uncle Ben's® Ready Whole Grain Medley™ (pouch)",45,150,39,18,foodSearch.php?num=294&ak=detail
840,"Brown & Wild rice, Uncle Ben's® Ready Whole Grain Medley™ (pouch)",45,150,39,18,foodSearch.php?num=952&ak=detail
841,"Chicken Flavored Brown Rice, Uncle Ben's® Ready Whole Grain (pouch)",46,150,39,18,foodSearch.php?num=344&ak=detail
842,"Chicken Flavored Brown Rice, Uncle Ben's® Ready Whole Grain (pouch)",46,150,39,18,foodSearch.php?num=953&ak=detail
843,"Glutinous rice, white, cooked in rice cooker",98,150,32,31,foodSearch.php?num=266&ak=detail
844,"Glutinous rice, white, cooked in rice cooker",98,150,32,31,foodSearch.php?num=954&ak=detail
845,"Jasmine Fragrant rice, white, SunRice brand (Product of Australia)",79,150,42,37,foodSearch.php?num=263&ak=detail
846,"Jasmine Fragrant rice, white, SunRice brand (Product of Australia)",79,150,42,37,foodSearch.php?num=955&ak=detail
847,"Jasmine rice, white long grain, cooked in rice cooker",109,150,42,46,foodSearch.php?num=956&ak=detail
848,"Long Grain and Wild, Jasmine rice, Uncle Ben's® Ready Rice (pouch)",49,150,42,21,foodSearch.php?num=345&ak=detail
849,"Long Grain and Wild, Jasmine rice, Uncle Ben's® Ready Rice (pouch)",49,150,42,21,foodSearch.php?num=957&ak=detail
850,Moolgiri white rice,54,150,32,17,foodSearch.php?num=346&ak=detail
851,"Original Long Grain, Jasmine rice, Uncle Ben's® Ready Rice (pouch)",48,150,46,22,foodSearch.php?num=347&ak=detail
852,"Original Long Grain, Jasmine rice, Uncle Ben's® Ready Rice (pouch)",48,150,46,22,foodSearch.php?num=959&ak=detail
853,"Red Raw rice, Sri Lankan, cooked in rice cooker",59,100,78,46,foodSearch.php?num=960&ak=detail
854,"Roasted Chicken Flavored, Uncle Ben's® Ready Rice (pouch)",51,150,42,21,foodSearch.php?num=961&ak=detail
855,"Santa Fe, Uncle Ben's® Ready Whole Grain Medley™ (pouch)",48,150,37,18,foodSearch.php?num=962&ak=detail
856,"Spanish Style, Uncle Ben's® Ready Rice (pouch)",51,150,44,22,foodSearch.php?num=963&ak=detail
857,"Vegetable Harvest, Uncle Ben's® Ready Whole Grain Medley™ (pouch)",48,150,36,17,foodSearch.php?num=964&ak=detail
858,"Calrose, white low-amylose rice, medium grain, boiled",83,150,43,36,foodSearch.php?num=295&ak=detail
859,"Sungold, Pelde, white low-amylose rice, parboiled",87,150,43,37,foodSearch.php?num=296&ak=detail
860,Waxy (0-2% amylose) white low-amylose rice,88,150,43,38,foodSearch.php?num=297&ak=detail
861,"Pelde, white low-amylose rice",93,150,43,40,foodSearch.php?num=298&ak=detail
862,"Doongara, white high-amylose rice, cooked in rice cooker, SunRice CleverRice™ brand",48,150,39,19,foodSearch.php?num=262&ak=detail
863,"Doongara, white high-amylose rice, cooked in rice cooker, SunRice CleverRice™ brand",48,150,39,19,foodSearch.php?num=969&ak=detail
864,"Doongara, white high-amylose rice, SunRice CleverRice™ brand",50,150,39,20,foodSearch.php?num=970&ak=detail
865,"Doongara, white high-amylose rice, SunRice CleverRice™ brand (Product of Australia)",54,150,39,21,foodSearch.php?num=971&ak=detail
866,"Doongara, white high-amylose rice, SunRice CleverRice™ brand",54,150,39,21,foodSearch.php?num=972&ak=detail
867,"Doongara, white high-amylose rice, SunRice CleverRice™ brand",64,150,39,25,foodSearch.php?num=973&ak=detail
868,"Doongara, white high-amylose rice, SunRice CleverRice™ brand (Product of Australia)",51,150,39,20,foodSearch.php?num=974&ak=detail
869,"Basmati, white rice, boiled, with 10 g margarine",43,150,43,18,foodSearch.php?num=975&ak=detail
870,"Basmati, white rice, boiled 12 min",52,150,28,15,foodSearch.php?num=976&ak=detail
871,"Basmati, white rice, organic, boiled 10 min ",57,150,40,23,foodSearch.php?num=261&ak=detail
872,"Basmati, white rice, organic, boiled 10 min ",57,150,40,23,foodSearch.php?num=977&ak=detail
873,"Basmati, white rice, boiled, Mahatma brand",58,150,38,22,foodSearch.php?num=978&ak=detail
874,"Basmati, white rice, boiled, SunRice brand (Product of Pakistan)",65,150,39,25,foodSearch.php?num=979&ak=detail
875,"Basmati, white rice, boiled, SunRice brand (Product of Pakistan)",59,150,39,23,foodSearch.php?num=980&ak=detail
876,"Basmati, white rice, boiled 8 min ",69,150,40,28,foodSearch.php?num=981&ak=detail
877,"Basmati, easy cook white rice, boiled 9 min ",67,150,42,28,foodSearch.php?num=982&ak=detail
878,"Basmati, easy-cook white rice, consumed with 10 g margarine",68,150,41,28,foodSearch.php?num=983&ak=detail
879,"Precooked basmati rice in pouch, white, reheated in microwave, Uncle Ben's Express®",57,150,41,24,foodSearch.php?num=299&ak=detail
880,"Precooked basmati rice in pouch, white, reheated in microwave, Uncle Ben's Express®",57,150,41,24,foodSearch.php?num=984&ak=detail
881,"Quick cooking white basmati, cooked 10 min, Uncle Ben's® Superior",60,150,38,23,foodSearch.php?num=300&ak=detail
882,"Quick cooking white basmati, cooked 10 min, Uncle Ben's® Superior",60,150,38,23,foodSearch.php?num=985&ak=detail
883,"Short Grain Sushi rice, white, SunRice brand (Product of Australia)",85,150,39,33,foodSearch.php?num=301&ak=detail
884,"Japonica, short-grain brown rice ",62,150,42,26,foodSearch.php?num=302&ak=detail
885,"Japonica, short-grain brown rice ",62,150,42,26,foodSearch.php?num=987&ak=detail
886,"Japonica short-grain brown rice, pre-germinated",54,150,41,22,foodSearch.php?num=988&ak=detail
887,"Japonica short-grain brown rice,  pre-germinated ",57,150,41,23,foodSearch.php?num=989&ak=detail
888,"Koshikari (Japonica), white rice, short-grain,  boiled 15 min, then steamed 10 min ",48,150,38,18,foodSearch.php?num=313&ak=detail
889,"Koshikari (Japonica), white rice, short-grain,  boiled 15 min, then steamed 10 min ",48,150,38,18,foodSearch.php?num=990&ak=detail
890,"Japonica, short-grain white rice ",76,150,46,35,foodSearch.php?num=279&ak=detail
891,"Japonica, short-grain white rice ",76,150,46,35,foodSearch.php?num=991&ak=detail
892,"Japonica, short-grain white rice ",75,150,46,34,foodSearch.php?num=992&ak=detail
893,Japonica white rice and pre-germinated Japonica brown rice (ratio 1:2),64,150,43,27,foodSearch.php?num=993&ak=detail
894,Japonica white rice and pre-germinated Japonica brown rice (ratio 2:1) ,67,150,44,30,foodSearch.php?num=994&ak=detail
895,"Koshihikari rice, white, SunRice brand (Product of Australia)",73,150,38,28,foodSearch.php?num=995&ak=detail
896,"Koshihikari rice, white, SunRice brand (Product of Australia)",61,150,38,23,foodSearch.php?num=996&ak=detail
897,"Japonica rice with 3 g Sunfibre (Cyamoposis tetragonolobus) (soluble fiber), viscosity 1 (Taiyo Kagaku Co., Ltd, Japan)",68,150,40,27,foodSearch.php?num=997&ak=detail
898,"Japonica rice with 5 g Sunfibre (Cyamoposis tetragonolobus) (soluble fiber), viscosity 1 (Taiyo Kagaku Co., Ltd, Japan)",66,150,40,26,foodSearch.php?num=998&ak=detail
899,"Milled (white), high amylose (IR42) rice,  boiled 22 min",66,150,43,28,foodSearch.php?num=999&ak=detail
900,"Milled (white), high amylose (IR42) rice, boiled 22 min ",64,150,43,28,foodSearch.php?num=1000&ak=detail
901,"Milled (white), high amylose (IR42) rice, boiled 22 min",64,150,43,28,foodSearch.php?num=1001&ak=detail
902,"Milled (white), high amylose (IR62) rice, boiled 22 min",43,150,43,18,foodSearch.php?num=1002&ak=detail
903,"Milled (white), high amylose (IR36) rice, boiled 22 min ",50,150,43,22,foodSearch.php?num=1003&ak=detail
904,"Milled (white), high amylose (IR62) rice, cooked in rice cooker 20 min ",53,150,43,23,foodSearch.php?num=1004&ak=detail
905,"Milled (white), high amylose (IR36) rice, cooked in rice cooker 19 min",55,150,43,24,foodSearch.php?num=1005&ak=detail
906,"Milled (white), high amylose (IR42) rice, cooked in rice cooker 14 min",58,150,43,25,foodSearch.php?num=1006&ak=detail
907,Brown rice ,66,150,33,22,foodSearch.php?num=258&ak=detail
908,Brown rice ,66,150,33,22,foodSearch.php?num=1007&ak=detail
909,"Brown rice, steamed",50,150,33,16,foodSearch.php?num=287&ak=detail
910,"Brown rice, steamed",50,150,33,16,foodSearch.php?num=1008&ak=detail
911,"Brown rice, boiled in excess water for 25 min, SunRice brand",72,150,40,29,foodSearch.php?num=288&ak=detail
912,Brown rice,87,150,33,29,foodSearch.php?num=259&ak=detail
913,Brown rice,87,150,33,29,foodSearch.php?num=1010&ak=detail
914,Calrose brown rice,87,150,38,33,foodSearch.php?num=267&ak=detail
915,"Doongara brown rice, high amylose",66,150,37,24,foodSearch.php?num=1012&ak=detail
916,"Medium Grain Brown Rice in 90 seconds, microwaved on high, SunRice brand",59,150,51,30,foodSearch.php?num=289&ak=detail
917,Pelde brown rice,76,150,38,29,foodSearch.php?num=348&ak=detail
918,"Parboiled brown rice, cooked 20 min, Uncle Ben's Natur-reis®",64,150,36,23,foodSearch.php?num=1015&ak=detail
919,Sunbrown Quick™ brown rice,80,150,38,31,foodSearch.php?num=290&ak=detail
920,"Brown, high amylose (IR42) rice, boiled 30 min",58,150,42,24,foodSearch.php?num=1017&ak=detail
921,"Instant rice, white, cooked 3 min ",46,150,42,19,foodSearch.php?num=1018&ak=detail
922,"Instant rice, white, cooked 6 min, Trice brand",87,150,42,36,foodSearch.php?num=278&ak=detail
923,"Instant rice, white, cooked 6 min, Trice brand",87,150,42,36,foodSearch.php?num=1019&ak=detail
924,"Instant rice, white, cooked 6 min ",87,150,42,37,foodSearch.php?num=1020&ak=detail
925,"Puffed, white rice, cooked 5 min, Uncle Ben's Snabbris®",74,150,42,31,foodSearch.php?num=324&ak=detail
926,"Puffed, white rice, cooked 5 min, Uncle Ben's Snabbris®",74,150,42,31,foodSearch.php?num=1021&ak=detail
927,"Instant Doongara, white rice, cooked 5 min",94,150,42,39,foodSearch.php?num=1022&ak=detail
928,"Converted, white parboiled rice, boiled 20-30 min, Uncle Ben's®",38,150,36,14,foodSearch.php?num=335&ak=detail
929,"Converted, white parboiled rice, boiled 20-30 min, Uncle Ben's®",38,150,36,14,foodSearch.php?num=1023&ak=detail
930,"Parboiled rice, low-amylose, Pelde, Sungold",87,150,39,34,foodSearch.php?num=341&ak=detail
931,"Parboiled rice, high-amylose (28%), Doongara",50,150,39,19,foodSearch.php?num=342&ak=detail
932,"Rice, Sticky ",87,150,28,24,foodSearch.php?num=264&ak=detail
933,"Rice, Sticky ",87,150,28,24,foodSearch.php?num=1026&ak=detail
934,"Rice, Sticky ",88,150,28,25,foodSearch.php?num=1027&ak=detail
935,"Rice, Sticky, high-amylose ",50,150,27,14,foodSearch.php?num=291&ak=detail
936,"Rice, Sticky, high-amylose ",50,150,27,14,foodSearch.php?num=1028&ak=detail
937," Wheat, whole kernels (Triticum aestivum)",30,50,38,11,foodSearch.php?num=1029&ak=detail
938,"Durum wheat, precooked kernels, cooked 20 min",52,50,37,19,foodSearch.php?num=1030&ak=detail
939,"Durum wheat, precooked kernels, cooked 10 min",50,50,33,17,foodSearch.php?num=1031&ak=detail
940,"Durum wheat, precooked kernels in pouch,  reheated in microwave, Ebly Express",40,125,39,16,foodSearch.php?num=1032&ak=detail
941,"Quick cooking wheat, precooked kernels",54,150,47,25,foodSearch.php?num=1033&ak=detail
942,"Apricot Temptation fruit cookies, 97% fat-free",47,25,16,8,foodSearch.php?num=1034&ak=detail
943,Milk Arrowroot™ cookies,69,25,18,12,foodSearch.php?num=1035&ak=detail
944,Barquette Abricot cookies,71,40,32,23,foodSearch.php?num=1036&ak=detail
945,Bebe Dobre Rano Chocolate cookies,46,50,35,16,foodSearch.php?num=1037&ak=detail
946,Bebe Dobre Rano Chocolate cookies,46,50,35,16,foodSearch.php?num=1038&ak=detail
947,Bebe Dobre Rano Chocolate cookies,57,50,33,19,foodSearch.php?num=1039&ak=detail
948,Bebe Dobre Rano Coconut cookies,48,50,34,16,foodSearch.php?num=1040&ak=detail
949,Bebe Dobre Rano Four Cereals cookies,51,50,34,17,foodSearch.php?num=1041&ak=detail
950,Bebe Dobre Rano Honey and Hazelnuts cookies,51,50,34,17,foodSearch.php?num=1042&ak=detail
