,Food Name,Food Manufacturer,GI,Standard Serve Size,Carbohydrate per Serve,Glycemic Load,Country,Product Category,Year of Test,SEM,Time Period of Test,Number of Subjects in Test,Type of Subjects in Test,Source
476,"Continental fruit loaf, wheat bread with dried fruit ",,47,30,15,7,Australia,Breads,1995,6,2h,8,Normal,"Brand-Miller J, Pang E, Broomhead L. The glycaemic index of foods containing sugars: comparison of foods with naturally-occurring v. added sugars. Br J Nutr 1995; 73: 613-23."
477,Fruit and cinnamon bread,"Finest, UK",71,30,16,11,UK,Breads,2005,11,2h,10,Normal,"Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
478,"Fruit and Spice Loaf bread, thick sliced","Buttercup bakeries, Australia",54,30,15,8,Australia,Breads,2007,6,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
479,"Fruit loaf bread, sliced",,57,30,16,9,UK,Breads,2005,6,2h,10,Normal,"Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
480,"Happiness™ bread, cinnamon, raisin, pecan bread","Natural Ovens, USA",63,30,14,9,USA,Breads,2007,5,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
481,"Muesli bread, made from packet mix in bread making machine","Con Agra Inc., USA",54,30,12,7,USA,Breads,2007,6,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
482,Whole-wheat bread with dried fruit,,47,30,14,7,China,Breads,2006,2,2h,10,Normal,"Yang YX, Wang HW, Cui HM, Wang Y, Y LD, Xiang SX, Zhou SY. Glycemic index of cereals and tubers produced in China. World J Gastroenterol 2006; 12(21): 3430-3."
483,Gluten Free Multigrain bread,"Country Life Bakery, Australia",79,30,13,10,Australia,Breads,2007,13,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
484,Gluten Free Low GI White bread,"Country Life Bakery, Australia",53,30,8,4,Australia,Breads,2008,,2h,10,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2008"
485,"Gluten-free buckwheat bread, made with buckwheat meal & rice flour","Naturis Organic Bread, Australia",72,30,11,8,Australia,Breads,2007,5,2h,8,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
486,"100% Whole wheat Gigantico Burger Buns, President's Choice® Blue Menu™","Loblaw Brands Limited, Canada",62,30,12,7,Canada,Breads,2007,6,2h,10,Normal,"Glycemic Index Laboratories, Inc. (Toronto, Canada), unpublished observations, 2004-2007."
487,"100% Whole wheat Gigantico Hot Dog Rolls, President's Choice® Blue Menu™","Loblaw Brands Limited, Canada",62,30,12,7,Canada,Breads,2007,6,2h,10,Normal,"Glycemic Index Laboratories, Inc. (Toronto, Canada), unpublished observations, 2004-2007."
488,"Coarse oat kernel bread, 80% intact oat kernels and 20% white wheat flour ",,65,30,19,13,Sweden,Breads,1992,,2h,10,Normal," Liljeberg H, Granfeldt Y, Björk I. Metabolic responses to starch in bread containing intact kernels versus milled flour. Euro J Clin Nutr 1992; 46: 561-75."
489,50% oat bran bread ,,44,30,18,8,Australia,Breads,1992,,2h,8,Normal,"Brown D, Tomlinson D, Brand-Miller J. The development of low glycaemic index breads. Proc Nutr Soc Aust 1992; 17:62 (abstr)."
490,45% oat bran and 50% wheat flour bread,,50,30,18,9,Sweden,Breads,1992,,1.5h,10,Normal,"Granfeldt Y, Björk I, Drews A, Tovar J.  An in vitro procedure based on chewing to predict metabolic response to starch in cereal and legume products.  Euro J Clin Nutr 1992; 46: 649-60."
491,Oatmeal batch bread,,62,30,15,9,UK,Breads,2005,8,2h,10,Normal,"Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
492,"Rice bread, low-amylose Calrose rice","Pav's Allergy Bakery, Australia",72,30,12,8,Australia,Breads,1998,9,2h,12,Normal,"Brand-Miller JC, Allwan C, Mehalski K, Brooks D. The glycaemic index of further Australian foods.  Proc Nutr Soc Aust 1998; 22: 110 (abstr)."
493,"Rice bread, high-amylose Doongara rice","Pav's Allergy Bakery, Australia",61,30,12,7,Australia,Breads,1998,9,2h,12,Normal,"Brand-Miller JC, Allwan C, Mehalski K, Brooks D. The glycaemic index of further Australian foods.  Proc Nutr Soc Aust 1998; 22: 110 (abstr)."
494,Rye bread (50% rye flour + 50% wheat flour) ,,50,30,14,7,Turkey,Breads,1999,,2h,10,Normal,Nehir El S. Determination of glycemic index for some breads. Food Chem 1999; 67: 67-9.
495,Wheat and rye bread (75% wheat flour + 10% rye flour + 15% wheat bran) ,,40,30,14,6,Turkey,Breads,1999,,2h,10,Normal,Nehir El S. Determination of glycemic index for some breads. Food Chem 1999; 67: 67-9.
496,"Coarse rye kernel bread, 80% intact kernels and 20% white wheat flour ",,41,30,12,5,Sweden,Breads,1992,,2h,10,Normal,"Liljeberg H, Granfeldt Y, Björk I. Metabolic responses to starch in bread containing intact kernels versus milled flour. Euro J Clin Nutr 1992; 46: 561-75."
497,"Whole-kernel rye bread, 60% whole rye kernels and 40% rye flour",,57,30,11,6,Finland,Breads,2002,,3h,20,Normal,"Juntunen KS, Niskanen LK, Liukkonen KH, Poutanen KS, Holst JJ, Mykkanen HM.  Postprandial glucose, insulin, and incretin responses to grain products in healthy subjects.  Am J Clin Nutr 2002; 75: 254-62."
498,Rye bread (80% rye flour + 20% oat ß-glucan concentrate),,66,30,9,6,Finland,Breads,2002,,3h,20,Normal,"Juntunen KS, Niskanen LK, Liukkonen KH, Poutanen KS, Holst JJ, Mykkanen HM.  Postprandial glucose, insulin, and incretin responses to grain products in healthy subjects.  Am J Clin Nutr 2002; 75: 254-62."
499,"Rye bread, 69% whole-grain rye flour","Jalkiuunileipa, Oululainen Ltd, Finland",78,30,14,11,Finland,Breads,2006,10,2h,12,Normal,"Hätönen KA, Simila ME, Virtamo JR, Eriksson JG, Hannila M-L, Sinkko HK, Sundvall JE, Mykkanen HM, Valsta LM. Methodological considerations in the measurement of glycemic index: glycemic response to rye bread, oatmeal porridge, and mashed potato.  Am J Clin Nutr 2006; 84(5): 1055-61."
500,"Blackbread, Riga","Berzin's Specialty Bakery, Australia",76,30,13,10,Australia,Breads,1990,14,2h,7,Normal,"Brand JC, Foster KAF, Crossman S, Truswell AS.  The glycaemic and insulin indices of realistic meals and rye breads tested in healthy subjects.  Diab Nutr Metab 1990; 3: 137-42."
501,Bürgen™ Dark/Swiss rye bread,"Tip Top Bakeries, New Zealand",55,30,10,6,New Zealand,Breads,2000,12,2h,9,Normal,"Perry T, Mann J, Mehalski K, Gayya C, Wilson J, Thompson C. Glycaemic index of New Zealand foods. NZ Med J 2000; 113:140-42."
502,Bürgen™ Rye bread,"Tip Top Bakeries, Australia",51,30,10,5,Australia,Breads,2007,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
503,Country Grain Organic Rye bread,"Country Life Bakery, Australia",53,30,10,5,Australia,Breads,2007,4,2h,12,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006 – 2007."
504,"Roggenbrot, Vogel's bread","Stevns & Co, Australia",59,30,14,8,Australia,Breads,1995,5,2h,8,Normal,"Brand Miller J, Bell L, Denning K, Browne D. In search of more low glycaemic index foods.  Proc Nutr Soc Aust 1995; 19: 177 (abstr)."
505,Rye Hi-Soy with Linseed bread,"Country Life Bakery, Australia",55,30,9,5,Australia,Breads,2007,4,2h,13,Normal,"International Diabetes Institute (Melbourne, Australia), unpublished observations, 2006 – 2007."
506,"Schinkenbrot, Riga bread","Berzin's Specialty Bakery, Australia",86,30,14,12,Australia,Breads,1990,15,2h,7,Normal,"Brand JC, Foster KAF, Crossman S, Truswell AS.  The glycaemic and insulin indices of realistic meals and rye breads tested in healthy subjects.  Diab Nutr Metab 1990; 3: 137-42."
507,Sourdough rye bread ,,48,30,12,6,Australia,Breads,2007,,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
508,"Coarse wheat kernel bread, 80% intact kernels and 20% white wheat flour ",,52,30,20,10,Sweden,Breads,1992,,2h,10,Normal,"Liljeberg H, Granfeldt Y, Björk I. Metabolic responses to starch in bread containing intact kernels versus milled flour. Euro J Clin Nutr 1992; 46: 561-75."
509,White spelt wheat bread ,,65,30,16,10,Belgium,Breads,2007,,2h,10,Normal,"Marques C, D'auria L, Cani PD, Baccelli C, Rozenberg R, Ruibal-Mendieta NL, Petitjean G, Delacroix DL, Quetin-Leclercq J, Habib-Jiwan J-L, Meurens M, Delzenne N.  Comparison of glycemic index of spelt and wheat bread in human volunteers.  Food Chem 2007; "
510,White spelt wheat bread,,74,30,23,17,Slovenia,Breads,2001,,3h,6,Normal,"Skrabanja V, Kova B, Golob T, Liljeberg Elmståhl HGM, Björk IME, Kreft I. Effect of spelt wheat flour and kernel on bread composition and nutritional characteristics. J Agric Food Chem 2001; 49: 497-500."
511,Wholemeal spelt wheat bread ,,63,30,19,12,Slovenia,Breads,2001,,3h,6,Normal,"Skrabanja V, Kova B, Golob T, Liljeberg Elmståhl HGM, Björk IME, Kreft I. Effect of spelt wheat flour and kernel on bread composition and nutritional characteristics. J Agric Food Chem 2001; 49: 497-500."
512,Scalded spelt wheat kernel bread ,,67,30,22,15,Slovenia,Breads,2001,,3h,6,Normal,"Skrabanja V, Kova B, Golob T, Liljeberg Elmståhl HGM, Björk IME, Kreft I. Effect of spelt wheat flour and kernel on bread composition and nutritional characteristics. J Agric Food Chem 2001; 49: 497-500."
513,Spelt multigrain bread,"Pav's bakery, Australia",54,30,12,7,Australia,Breads,2007,10,2h,12,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
514,"Wonder™, enriched white bread","Interstate Brands Companies, USA",71,30,14,10,USA,Breads,2007,9,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
515,"Wonder™, enriched white bread","Interstate Brands Companies, USA",72,30,14,10,USA,Breads,2007,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
516,"Wonder™, enriched white bread","Interstate Brands Companies, USA",77,30,14,11,USA,Breads,2007,3,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
517,White bread + 200 mg acarbose (enzyme inhibitor) ,,50,30,17,8,Mexico,Breads,1998,,3h,10,Normal,"Frati Munari AC, Benitez Pinto W, Ariza CR, Casarrubias M. Lowering glycemic index of food by acarbose and Plantago psyllium mucilage. Arch Med Res 1998; 29(2): 137-41."
518,"White bread, enriched with 9 g lupin kernel fiber (viscous insoluble fiber) (Australasian Natural Ingredients Pty Ltd, Perth, Australia)",,74,30,9,7,Australia,Breads,2003,,2h,21,Normal,"Johnson SK, McQuillan PL, Sin JH, Ball MJ.  Sensory acceptability of white bread with added Australian sweet lupin (Lupinus angustifolius) kernel fibre and its glycaemic and insulinaemic responses when eaten as a breakfast.  J Sci Food Agric 2003; 83: 1366-72."
519,White bread with added wheatgerm and fiber ,,59,30,12,6,UK,Breads,2007,11,2h,10,Normal,"Henry CJK, Lightowler HJ, Dodwell LM, Wynne M.  Glycaemic index and glycaemic load values of cereal products and weight-management meals available in the UK.  Br J Nutr 2007; 98: 147-53."
520,White bread + 15 g psyllium fiber (Plantago psyllium)  ,,65,30,17,11,Mexico,Breads,1998,,3h,10,Normal,"Frati Munari AC, Benitez Pinto W, Ariza CR, Casarrubias M. Lowering glycemic index of food by acarbose and Plantago psyllium mucilage. Arch Med Res 1998; 29(2): 137-41."
521,"White bread, enriched with 12 g Arabinoxylan fiber (soluble fiber) ",,41,30,10,4,Australia,Breads,2000,,2h,14,Normal,"Lu ZX, Walker KZ, Muir JG, Mascara T, O'Dea K.  Arabinoxylan fiber, a byproduct of wheat flour processing, reduces the postprandial glucose response in normoglycemic subjects.  Am J Clin Nutr 2000; 71(5): 1123-8."
522,"White bread, enriched with 6 g Arabinoxylan fiber (soluble fiber) ",,56,30,12,7,Australia,Breads,2000,,2h,14,Normal,"Lu ZX, Walker KZ, Muir JG, Mascara T, O'Dea K.  Arabinoxylan fiber, a byproduct of wheat flour processing, reduces the postprandial glucose response in normoglycemic subjects.  Am J Clin Nutr 2000; 71(5): 1123-8."
523,"White bread with 3 g Sunfibre (Cyamoposis tetragonolobus) (Indian cluster guar beans), viscosity 1 (Taiyo Kagaku Co., Ltd, Yokaichi Mie, Japan)",,63,30,16,10,Japan,Breads,2004,4,2h,11,Normal,"Trinidad T, Perez E, Loyola A, Mallillin A, Encabo R, Yokawa T, Aoyama N, Juneja L.  Glycemic index of Sunfibre (Cyamoposis teragonolobus) products in normal and diabetic subjects.  Int J Food Sci Tech 2004; 39:1093-8. "
524,"White bread with 5 g Sunfibre (Cyamoposis tetragonolobus) (Indian cluster guar beans), viscosity 1 (Taiyo Kagaku Co., Ltd, Yokaichi Mie, Japan)","Taiyo Kagaku Co., Ltd, Japan",64,30,16,10,Japan,Breads,2004,5,2h,11,Normal,"Trinidad T, Perez E, Loyola A, Mallillin A, Encabo R, Yokawa T, Aoyama N, Juneja L.  Glycemic index of Sunfibre (Cyamoposis teragonolobus) products in normal and diabetic subjects.  Int J Food Sci Tech 2004; 39:1093-8. "
525,"White bread with 10 g Sunfibre (Cyamoposis tetragonolobus) (Indian cluster guar beans), viscosity 1 (Taiyo Kagaku Co., Ltd, Yokaichi Mie, Japan)","Taiyo Kagaku Co., Ltd, Japan",68,30,17,11,Japan,Breads,2004,5,2h,11,Normal,"Trinidad T, Perez E, Loyola A, Mallillin A, Encabo R, Yokawa T, Aoyama N, Juneja L.  Glycemic index of Sunfibre (Cyamoposis teragonolobus) products in normal and diabetic subjects.  Int J Food Sci Tech 2004; 39:1093-8. "
526,"White bread with 15 g Sunfibre (Cyamoposis tetragonolobus) (Indian cluster guar beans), viscosity 1 (Taiyo Kagaku Co., Ltd, Yokaichi Mie, Japan)","Taiyo Kagaku Co., Ltd, Japan",56,30,17,10,Japan,Breads,2004,1,2h,11,Normal,"Trinidad T, Perez E, Loyola A, Mallillin A, Encabo R, Yokawa T, Aoyama N, Juneja L.  Glycemic index of Sunfibre (Cyamoposis teragonolobus) products in normal and diabetic subjects.  Int J Food Sci Tech 2004; 39:1093-8. "
527,"White bread with 5 g Sunfibre (Cyamoposis tetragonolobus) (Indian cluster guar beans), viscosity 2   (Taiyo Kagaku Co., Ltd, Yokaichi Mie, Japan)","Taiyo Kagaku Co., Ltd, Japan",55,30,16,9,Japan,Breads,2004,2,2h,11,Normal,"Trinidad T, Perez E, Loyola A, Mallillin A, Encabo R, Yokawa T, Aoyama N, Juneja L.  Glycemic index of Sunfibre (Cyamoposis teragonolobus) products in normal and diabetic subjects.  Int J Food Sci Tech 2004; 39:1093-8. "
528,"White bread consumed with 5 g Sunfibre (Taiyo Kagaku Co, Ltd, Japan) dissolved in 250 mL water","Taiyo Kagaku Co., Ltd, Japan",49,0,0,0,Japan,Breads,2004,4,2h,11,Normal,"Trinidad T, Perez E, Loyola A, Mallillin A, Encabo R, Yokawa T, Aoyama N, Juneja L.  Glycemic index of Sunfibre (Cyamoposis teragonolobus) products in normal and diabetic subjects.  Int J Food Sci Tech 2004; 39:1093-8. "
529,"White bread consumed with 10 g Sunfibre (Taiyo Kagaku Co, Ltd, Japan) dissolved in 250 mL water","Taiyo Kagaku Co., Ltd, Japan",57,0,0,0,Japan,Breads,2004,5,2h,11,Normal,"Trinidad T, Perez E, Loyola A, Mallillin A, Encabo R, Yokawa T, Aoyama N, Juneja L.  Glycemic index of Sunfibre (Cyamoposis teragonolobus) products in normal and diabetic subjects.  Int J Food Sci Tech 2004; 39:1093-8. "
530,"White bread consumed with 10 g insoluble dextrin (Matsutani Chemical Industry Co Ltd, Japan)  in 250 mL water ","Matsutani Chemical Industry Co Ltd, Japan",66,0,0,0,Japan,Breads,2004,6,2h,11,Normal,"Trinidad T, Perez E, Loyola A, Mallillin A, Encabo R, Yokawa T, Aoyama N, Juneja L.  Glycemic index of Sunfibre (Cyamoposis teragonolobus) products in normal and diabetic subjects.  Int J Food Sci Tech 2004; 39:1093-8. "
531,"White bread consumed with 10 g inulin (Orafti, Tienen, Belgium) in 250 mL water ","Orafti, Belgium",67,0,0,0,Belgium,Breads,2004,6,2h,11,Normal,"Trinidad T, Perez E, Loyola A, Mallillin A, Encabo R, Yokawa T, Aoyama N, Juneja L.  Glycemic index of Sunfibre (Cyamoposis teragonolobus) products in normal and diabetic subjects.  Int J Food Sci Tech 2004; 39:1093-8. "
532,White bread (100% wheat flour) + 2% pectin,"George Weston Foods Ltd, Australia",85,30,13,11,Australia,Breads,2007,,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
533,White bread (100% wheat flour) + 5% fruit fiber,"George Weston Foods Ltd, Australia",76,30,12,9,Australia,Breads,2007,,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
534,"White bread, 80% wheat flour + 20% chickpea flour","George Weston Foods Ltd, Australia",79,30,12,9,Australia,Breads,2007,,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
535,"White bread, 90% wheat flour + 10% modified corn starch","George Weston Foods Ltd, Australia",78,30,13,10,Australia,Breads,2007,,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
536,"White bread, 90% wheat flour + 10% tapicoa starch","George Weston Foods Ltd, Australia",77,30,13,10,Australia,Breads,2007,,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
537,"White bread, 95% wheat flour + 5% oat bran","George Weston Foods Ltd, Australia",74,30,13,10,Australia,Breads,2007,,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
538,"White bread, containing 2% guar gum","George Weston Foods Ltd, Australia",66,30,13,8,Australia,Breads,2007,,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
539,"White bread, containing 2% vinegar and 2.5%  sourdough","Noble Rise Crunchy Toast, Australia",79,30,12,9,Australia,Breads,2007,,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
540,White bread containing Eurylon® high-amylose maize starch ,,42,30,19,8,France,Breads,1999,,2.8h,8,Normal,"Hoebler C, Karinthi A, Chiron H, Champ M, Barry J-L.  Bioavailability of starch in bread rich in amylose: metabolic responses in healthy subjects and starch structure.  Euro J Clin Nutr 1999; 53: 360-6."
541,White bread eaten with powdered dried  seaweed (Nori alga) ,,48,30,15,7,Spain,Breads,2000,,2h,12,Normal,"Goñi I, Valdivieso L, Garcia-Alonso A. Nori seaweed consumption modifies glycemic response in healthy volunteers. Nutr Res 2000; 20(10): 1367-75."
542,White bread eaten with vinegar as vinaigrette,,45,30,15,7,Sweden,Breads,1998,,1.6h,10,Normal,"Liljeberg H, Björk I.  Delayed gastric emptying rate may explain improved glycaemia in healthy subjects to a starchy meal with added vinegar.  Euro J Clin Nutr 1998; 52: 368-71."
543,White bread eaten with 18 g white vinegar  (6% acetic acid) ,,63,30,15,9,Sweden,Breads,2005,,1.6h,12,Normal,"Ostman E, Granfeldt Y, Persson L, Björk I. Vinegar supplementation lowers glucose and insulin responses and increases satiety after a bread meal in healthy subjects.  Euro J Clin Nutr 2005, 59: 983-8."
544,White bread eaten with 23 g white vinegar  (6% acetic acid),,73,30,15,11,Sweden,Breads,2005,,1.6h,12,Normal,"Ostman E, Granfeldt Y, Persson L, Björk I. Vinegar supplementation lowers glucose and insulin responses and increases satiety after a bread meal in healthy subjects.  Euro J Clin Nutr 2005, 59: 983-8."
545,White bread eaten with 28 g white vinegar (6% acetic acid) ,,54,30,15,8,Sweden,Breads,2005,,1.6h,12,Normal,"Ostman E, Granfeldt Y, Persson L, Björk I. Vinegar supplementation lowers glucose and insulin responses and increases satiety after a bread meal in healthy subjects.  Euro J Clin Nutr 2005, 59: 983-8."
546,"White and wholemeal bread (ratio 1:1), fermented by sourdough lactobacilli  (∆ pH 1.5) and fiber-enriched with oat fiber ",,54,30,11,6,Italy,Breads,2007,,2h,15,Normal,"De Angelis M, Rizzello CG, Alfonsi G, Arnault P, Cappelle S, Di Cagno R, Gobbetti M. Use of sourdough lactobacilli and oat fibre to decrease the glycaemic index of white wheat bread. Br J Nutr 2007, 98: 1196-1205."
547,"White bread, prepared with a 10 min prove and a second 2 min proving (low loaf volume) ",,38,30,13,5,UK,Breads,2006,4,2h,10,Normal,"Burton P, Lightowler HJ. Influence of bread volume on glycaemic response and satiety.  Br J Nutr 2006; 96: 877-82."
548,"White bread, prepared with a 30 min prove and a second 12 min proving (moderate loaf volume)",,72,30,13,9,UK,Breads,2006,7,2h,10,Normal,"Burton P, Lightowler HJ. Influence of bread volume on glycaemic response and satiety.  Br J Nutr 2006; 96: 877-82."
549,"White bread, prepared with a 60 min prove and a second 30 min proving  (moderate loaf volume)",,86,30,13,11,UK,Breads,2006,9,2h,10,Normal,"Burton P, Lightowler HJ. Influence of bread volume on glycaemic response and satiety.  Br J Nutr 2006; 96: 877-82."
550,"White bread, prepared with a 40 min prove, a second 25 min proving and a third 50 min proving (large loaf volume)",,100,30,13,13,UK,Breads,2006,7,2h,10,Normal,"Burton P, Lightowler HJ. Influence of bread volume on glycaemic response and satiety.  Br J Nutr 2006; 96: 877-82."
551,Fiber White™ bread,"Nature's Fresh, New Zealand",77,30,15,11,New Zealand,Breads,2000,10,2h,14,Normal,"Perry T, Mann J, Mehalski K, Gayya C, Wilson J, Thompson C. Glycaemic index of New Zealand foods. NZ Med J 2000; 113:140-42."
552,"Bürgen® Soy-Lin, kibbled soy (8%) and linseed (8%) loaf bread","Tip Top Bakeries, Australia",52,30,9,4,Australia,Breads,2008,3,2h,28,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2010"
553,"Wholemeal bread, stoneground flour","Bill's Organic Bread, Australia",59,30,11,7,Australia,Breads,2007,8,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
554,"Wholemeal flour, stoneground bread, with 5 g margarine","Waitrose, UK",66,30,12,8,UK,Breads,2008,13,2h,10,Normal,"Aston LM, Gambell JM, Lee DM, Bryant SP, Jebb SA.  Determination of the glycaemic index of various staple carbohydrate-rich foods in the UK diet.  Euro J Clin Nutr 2008; 62(2): 279-85."
555,Bakers Delight™ Hi Fibre Lo GI white bread,"Bakers Delight Holdings, Australia",52,30,15,8,Australia,Breads,2007,7,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
556,Bakers Delight™ Wholemeal Country Grain bread,"Bakers Delight Holdings, Australia",53,30,12,6,Australia,Breads,2007,9,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
557,Bürgen™ Mixed Grain bread,"Tip Top Bakeries, Australia",34,30,11,4,Australia,Breads,1997,4,2h,10-12,Normal,"Brand Miller JC, Wang B, McNeil Y, Swan V. The glycaemic index of more breads, breakfast cereals and snack products.  Proc Nutr Soc Aust 1997; 21: 144 (abstr)."
558,Bürgen™ Mixed Grain bread,"Tip Top Bakeries, Australia",45,30,11,5,New Zealand,Breads,2000,12,2h,10,Normal,"Perry T, Mann J, Mehalski K, Gayya C, Wilson J, Thompson C. Glycaemic index of New Zealand foods. NZ Med J 2000; 113:140-42."
559,Bürgen™ Mixed Grain bread,"Tip Top Bakeries, Australia",52,30,10,5,Australia,Breads,2007,4,2h,12,Normal,"B Spratt (George Westons Foods, Australia), unpublished observations, 2007."
560,Bürgen™ Oat Bran & Honey Loaf bread with Barley,"Tip Top Bakeries, Australia",31,30,10,3,Australia,Breads,1995,3,2h,8,Normal,"Brand Miller J, Bell L, Denning K, Browne D. In search of more low glycaemic index foods.  Proc Nutr Soc Aust 1995; 19: 177 (abstr)."
561,Bürgen™ Oatbran & Honey bread,"Tip Top Bakeries, Australia",49,30,10,5,Australia,Breads,2002,4,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
562,"Bürgen® Pumpkin Seed bread, containing 6% pumpkin seeds","Tip Top Bakeries, Australia",49,30,8,4,Australia,Breads,2007,4,2h,10,Normal,"B Spratt (George Westons Foods, Australia), unpublished observations, 2007."
563,"Bürgen® Soy-Lin, kibbled soy and linseed loaf bread","Tip Top Bakeries, Australia",36,30,9,3,Australia,Breads,1997,4,2h,10-12,Normal,"Brand Miller JC, Wang B, McNeil Y, Swan V. The glycaemic index of more breads, breakfast cereals and snack products.  Proc Nutr Soc Aust 1997; 21: 144 (abstr)."
564,Bürgen® Wholmeal & Seeds bread,"Tip Top Bakeries, Australia",39,30,6,2,Australia,Breads,2007,8,2h,10,Normal,"B Spratt (George Westons Foods, Australia), unpublished observations, 2007."
565,Crusty malted wheat bread,"Finest, UK",52,30,13,7,UK,Breads,2005,8,2h,10,Normal," Henry CJK, Lightowler HJ, Strik CM, Renton H, Hails S. Glycaemic index and glycaemic load values of commercially available products in the UK. Br J Nutr 2005; 94: 922-30."
566,English Muffin™ bread,"Natural Ovens, USA",77,30,14,11,USA,Breads,2007,7,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
567,"English Muffin bread, Whole Grain Multigrain, President's Choice® Blue Menu™","Loblaw Brands Limited, Canada",45,30,11,5,Canada,Breads,2007,3,2h,10,Normal,"Glycemic Index Laboratories, Inc. (Toronto, Canada), unpublished observations, 2004-2007."
568,Golden Hearth™ Organic Heavy Wholegrain bread,"Gold Coast Bakeries, Australia",53,30,12,7,Australia,Breads,2007,7,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
569,Healthy Choice™ Hearty 7 Grain bread,"Con Agra Inc., USA",55,30,14,8,USA,Breads,2007,6,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
570,Healthy Choice™ Hearty 100% Whole Grain bread,"Con Agra Inc., USA",62,30,14,9,USA,Breads,2007,6,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
571,Helga's™ Classic Seed Loaf bread,"Quality Bakers, Australia",68,30,14,9,Australia,Breads,2007,9,2h,10,Normal,"Sydney University’s Glycemic Index Research Service (Human Nutrition Unit, University of Sydney, Australia), unpublished observations, 1995-2007"
